header,id_required,definition,synonim
VariableName,Required,"This is the variable name that will be used in the data collection / data sharing sheet; it is the representation of the DEC. Use CamelCase, no symbols or numbers, underscore is ok",Variable_Name;Variable;Field_Name;FieldName;Field Label;FieldLabel
Title,Required,The spelled out title of the CDE / Variable Name. A CDE name is a unique and unambiguous label to help users understand and differentiate one CDE from another. Must be human readable.,CDE Name;CDE_Name;CDEName;Title; DataElementName
Description,Required,A textual definition or description created by a Subject Matter Expert (SME) that describes the CDE in detail.,Definition;CDE Definition;ElementDescription;Element_Description;Element Description
Subgroup,Conditionally Required,"This is the module / bundle / form equivalent set of CDEs; May be blank for individual CDEs, or as appropriate. E.g. Controlled cortical impact, Barnes maze. Analogous to NLM ""Name of Bundle"": if CDE is a composite CDE or part of a Bundled Set of Questions, enter the name of the composite or bundle.",Name_of_Bundle;NameOfBundle;Name of Bundle;Bundle Name;BundleName;Bundle_Name;CRF Name;Form Name
Instructions,Conditionally Required,"The Instructions is equivalent to the Preferred Question Text and must be included to indicate how the data are collected if you using a form builder. The text does not need to be in the form of a question, but can be, and should be compatible with use of a case report form (CRF), data collection template, questionnaire, or measure. Most preclinical studies will not use a CRF type of collection tool, but Preferred Question Text is required to standardize how the data are collected. Preferred Question Text can be in the form of instructions or guidelines for use.",Preferred_Question_Text;Guidelines;Instructions
CDEClassification,Optional,"Core CDEs are data elements that are vital to the reporting of all preclinical studies and are intended to be a small minimal set of CDEs that are assigned the designation of ""Core"" based on a consensus of best research practices from the literature. Core CDEs collect essential information and can be general as applied to any preclinical data study, regardless of disease, or may be disease-specific; Recommended CDEs are data elements that are essential based on certain conditions or experimental designs to test the outcome in a particular domain and are recorded in most studies. In most cases, Recommended CDEs are well-established experimental factors or outcome measures and are highly recommended for general of disease-specific preclinical studies; Supplemental CDEs are data elements which may be collected but not typically recorded or reported and considered not vital. Supplemental CDEs but may be useful for some preclinical studies, but use depends upon the study design, protocol or type of research involved; Exploratory CDEs are data elements that requires further validation, but may fill current gaps in the CDEs and/or substitute for an existing CDE once validation is complete. They are reasonable to use with the understanding of their limited validation. These are similar to unique data elements (UDE) and upon periodic review demonstrating validation and general consensus among researchers can be elevated to Core, Recommended, or Supplemental",CDE_Classification;CDELevel;CDE_Level;Classification
DataType,Required,"Select the type of data to be collected from the dropdown list: Value List, Text, Number, Date, Time, Datetime, Geolocation, File, URI/URL, thumbnail, Other; If your CDE does not fit any of the above data types, select Other and we will provide assistance.",Data_Type;Data Type;Field_Type;Field Type
MinimumValue,Conditionally Required,Enter minimum acceptable value for Number or Numeric datatype entries only.,Minimum_Value;Minimum Value;Text Validation Min;ValueRange
MaximumValue,Conditionally Required,Enter maximum acceptable value for Number or Numeric datatype entries only.,Maximum_Value;Maximum Value;Text Validation Max;ValueRange
PermittedValues,Conditionally Required,"If the CDE datatype is a Value List (or Single pre-defined value or Multiple pre-defined values or Boolean), enter the acceptable choices here.",Permissible_Values;PermissibleValues;Permitted_Values;PV Values;ValuesRange;Choices;Calculations;Slider Labels
